namapemda,provinsi,tahun,level1coa90,level2coa90,level3coa90,jenis,nilai
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,843305186409
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,30184200000
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,27654160987
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,79042715378
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,350725160
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,2866940955595
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,2720044254508
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Anggaran,199280000000
Provinsi Banten,Provinsi Banten,2023,5. Belanja Daerah,54. Belanja Lainnya,542. Belanja Bantuan Keuangan,Realisasi,188354793029
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Anggaran,615689000000
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,611. Sisa Lebih Perhitungan Anggaran Tahun Sebelumnya,Realisasi,462959498984.74
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Anggaran,0
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,61. Penerimaan Pembiayaan Daerah,612. Pencairan Dana Cadangan,Realisasi,250000000000
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Anggaran,250000000000
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,621. Pembentukan Dana Cadangan,Realisasi,250000000000
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Anggaran,0
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,622. Penyertaan Modal Daerah,Realisasi,0
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Anggaran,138497733036
Provinsi Banten,Provinsi Banten,2023,6. Pembiayaan Daerah,62. Pengeluaran Pembiayaan Daerah,623. Pembayaran Cicilan Pokok Utang yang Jatuh Tempo,Realisasi,126956255283
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Anggaran,787761103931
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,411. Pajak Daerah,Realisasi,768570570825
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Anggaran,5795000000
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,412. Retribusi Daerah,Realisasi,4534590902
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Anggaran,18400000000
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,413. Hasil Pengelolaan Kekayaan Daerah yang Dipisahkan,Realisasi,273668625
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Anggaran,156000934040
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,41. PAD,414. Lain-Lain PAD yang Sah,Realisasi,165320804139.65
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Anggaran,1928302072000
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,42. TKDD,421. Pendapatan Transfer Pemerintah Pusat,Realisasi,1878081656852
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Anggaran,1116000000
Provinsi Bengkulu,Provinsi Bengkulu,2023,4. Pendapatan Daerah,43. Pendapatan Lainnya,431. Pendapatan Hibah,Realisasi,1168830000
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Anggaran,1195685115285
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,51. Belanja Pegawai,511. Belanja Pegawai,Realisasi,1042855987905
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Anggaran,795734649196
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,52. Belanja Barang dan Jasa,512. Belanja Barang dan Jasa,Realisasi,844808409133.77
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Anggaran,544306197799
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,53. Belanja Modal,520. Belanja Modal,Realisasi,563603519386.8
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Anggaran,49775653500
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,515. Belanja Hibah,Realisasi,57387936334
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Anggaran,2242500000
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,516. Belanja Bantuan Sosial,Realisasi,2220580000
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Anggaran,10000000000
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,531. Belanja Tidak Terduga,Realisasi,26609031
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Anggaran,379644022819
Provinsi Bengkulu,Provinsi Bengkulu,2023,5. Belanja Daerah,54. Belanja Lainnya,541. Belanja Bagi Hasil,Realisasi,412378001618
